id,prediction
372001,-0.0075876247
372002,0.38683137
372003,0.017235696
372004,0.017235696
372005,0.16652636
372006,-0.13252689
372007,0.017235696
372008,0.017235696
372009,0.10268441
372010,1.6024072
372011,0.017235696
372012,-0.24327558
372013,0.056294918
372014,-0.17536321
372015,0.017235696
372016,0.017235696
372017,-0.918232
372018,-0.20666735
372019,-0.3464746
372020,0.017235696
372021,-0.44295973
372022,0.01630887
372023,0.017235696
372024,0.7596429
372025,0.35076714
372026,0.003611831
372027,0.017235696
372028,-0.11668903
372029,0.017235696
372030,0.017235696
372031,0.017235696
372032,-0.19012517
372033,0.017235696
372034,-0.00469956
372035,0.017235696
372036,0.06557712
372037,1.4408467
372038,-0.03963931
372039,0.5829835
372040,-0.1681082
372041,0.017235696
372042,-0.10883182
372043,-1.0254445
372044,0.017235696
372045,-0.2756345
372046,0.017235696
372047,-0.09338659
372048,0.18771593
372049,0.017235696
372050,0.017235696
372051,0.28936714
372052,0.017235696
372053,-0.025334295
372054,0.10374987
372055,-0.1581592
372056,0.3400246
372057,0.017235696
372058,0.44462112
372059,0.33607388
372060,-0.46532235
372061,-0.6692454
372062,0.017235696
372063,0.23237786
372064,0.017235696
372065,0.017235696
372066,-0.87255746
372067,0.48710352
372068,0.017235696
372069,0.017235696
372070,0.021681942
372071,-0.019268215
372072,0.017042965
372073,0.03994544
372074,-0.1212827
372075,0.017235696
372076,0.2396437
372077,-0.12956238
372078,0.017235696
372079,0.017235696
372080,0.017235696
372081,-0.041715514
372082,0.017235696
372083,-0.096590884
372084,0.017235696
372085,0.29879856
372086,-0.018762648
372087,0.9129595
372088,0.52093214
372089,0.3381568
372090,-0.37926683
372091,0.017235696
372092,0.017235696
372093,0.20413007
372094,0.017235696
372095,-0.5716871
372096,-0.3190238
372097,0.05583202
372098,0.63101
372099,0.017235696
372100,0.030178644
372101,-0.5082426
372102,0.7507425
372103,3.6894197
372104,0.056759275
372105,0.22433227
372106,1.3752861
372107,-0.13965024
372108,0.29240972
372109,0.017235696
372110,0.29540154
372111,-0.14016981
372112,0.35956955
372113,0.06501582
372114,0.23134701
372115,0.017235696
372116,0.017235696
372117,0.072263636
372118,0.643824
372119,0.017235696
372120,0.017235696
372121,0.24674943
372122,0.017235696
372123,0.017235696
372124,0.051061273
372125,0.017235696
372126,-0.006307358
372127,0.017235696
372128,0.017235696
372129,0.06732896
372130,0.060721844
372131,0.017235696
372132,-0.2621325
372133,0.3915466
372134,0.017235696
372135,-1.0330081
372136,0.15107897
372137,0.01511778
372138,-0.07829957
372139,0.5969041
372140,-0.29008424
372141,-0.5569514
372142,0.017235696
372143,0.017235696
372144,0.017235696
372145,0.2766598
372146,0.005564113
372147,-0.16549897
372148,0.04923796
372149,0.017235696
372150,0.934051
372151,-0.98743945
372152,1.4964805
372153,0.017235696
372154,-1.2298007
372155,0.9953418
372156,-1.2481349
372157,-0.1732454
372158,-0.23718065
372159,0.118605554
372160,-0.013056481
372161,0.017235696
372162,0.31763002
372163,-0.47519788
372164,0.4186367
372165,0.10044862
372166,-0.45187622
372167,0.7337822
372168,0.017235696
372169,0.017235696
372170,-0.2093241
372171,1.169178
372172,-0.1297175
372173,0.017235696
372174,0.11502067
372175,0.017235696
372176,0.2870285
372177,0.116889045
372178,0.017235696
372179,-0.3794093
372180,0.07569963
372181,0.04990387
372182,1.018642
372183,-0.066609584
372184,-0.083816335
372185,0.32428607
372186,0.017235696
372187,0.017235696
372188,-0.3965708
372189,0.9942629
372190,0.30306584
372191,0.00055940636
372192,-1.2087297
372193,0.3048946
372194,0.087619856
372195,0.29138392
372196,1.4896123
372197,0.017235696
372198,-0.4643579
372199,0.1474392
372200,0.017235696
372201,-1.2555561
372202,0.9251122
372203,0.12010129
372204,0.5884958
372205,-0.11177598
372206,0.017235696
372207,0.017235696
372208,0.017235696
372209,0.26016808
372210,0.6789006
372211,0.09035319
372212,0.16449316
372213,0.51428866
372214,0.23013067
372215,0.107211925
372216,-0.1638069
372217,0.017235696
372218,-0.09234752
372219,0.017235696
372220,0.017235696
372221,0.017235696
372222,0.68437016
372223,-0.24896333
372224,1.2222531
372225,0.16691719
372226,0.30097675
372227,0.2432177
372228,0.97385395
372229,-0.074881494
372230,0.15492128
372231,1.1255646
372232,-0.23601171
372233,0.18619382
372234,0.2082089
372235,0.017235696
372236,0.017235696
372237,-0.8499699
372238,0.657798
372239,0.017235696
372240,-0.20970297
372241,0.13413832
372242,0.11595797
372243,0.3363583
372244,0.11822116
372245,0.8003939
372246,0.10332568
372247,0.1406374
372248,0.5007661
372249,-0.15831202
372250,0.36495888
372251,0.017235696
372252,-0.22313243
372253,-0.11063747
372254,0.15542814
372255,0.017235696
372256,0.0160648
372257,-0.0949535
372258,0.017235696
372259,0.48280823
372260,0.88922715
372261,0.047804072
372262,0.5186372
372263,0.017235696
372264,-0.1962575
372265,0.2668469
372266,0.017235696
372267,-2.2874603
372268,0.17811915
372269,0.20125242
372270,-0.049964845
372271,0.4947497
372272,-0.1968499
372273,0.19802068
372274,1.1469975
372275,0.017235696
372276,-0.14557955
372277,0.5379283
372278,-0.005242439
372279,0.037359796
372280,-0.045064427
372281,0.15852323
372282,0.017235696
372283,0.017235696
372284,0.017235696
372285,0.2119291
372286,-0.14507905
372287,0.015527524
372288,-0.25286353
372289,0.017235696
372290,0.017235696
372291,0.023962542
372292,0.017235696
372293,0.8022912
372294,0.017235696
372295,0.12737015
372296,0.17243847
372297,-0.04509335
372298,0.017235696
372299,0.017235696
372300,0.9120293
372301,-0.073920235
372302,-0.3283037
372303,0.017235696
372304,0.39948773
372305,0.60552007
372306,-0.33056915
372307,0.17082362
372308,0.47878054
372309,0.15937848
372310,0.056333646
372311,0.11189014
372312,-0.35381058
372313,1.8026619
372314,0.017235696
372315,0.017235696
372316,0.017235696
372317,-0.06864519
372318,0.1348566
372319,1.0198507
372320,0.5261709
372321,0.017235696
372322,-0.0025404096
372323,0.11583594
372324,0.017235696
372325,-0.22700416
372326,0.42751437
372327,0.15336245
372328,0.92305094
372329,0.8310306
372330,-0.3285073
372331,-0.2505861
372332,0.046651505
372333,0.017235696
372334,0.5420359
372335,1.8536413
372336,0.56047577
372337,0.017235696
372338,0.5490024
372339,-0.039990187
372340,-0.22930047
372341,0.017235696
372342,0.017235696
372343,-0.24116024
372344,0.14606692
372345,0.35229868
372346,-0.1816485
372347,0.51957285
372348,0.017235696
372349,0.12004546
372350,0.017235696
372351,0.1640828
372352,0.33140728
372353,-0.2792786
372354,0.38592422
372355,0.018056644
372356,-0.20167783
372357,0.017235696
372358,0.017235696
372359,0.10959183
372360,-0.18166406
372361,-0.24519801
372362,-0.99472374
372363,0.19411801
372364,0.017235696
372365,-0.39803866
372366,0.3961141
372367,-0.38778225
372368,0.027046036
372369,0.030158462
372370,-0.6828931
372371,0.13164781
372372,0.53008217
372373,-0.6287904
372374,0.017235696
372375,0.017235696
372376,0.38067743
372377,-0.013172265
372378,0.017235696
372379,1.253397
372380,0.017235696
372381,-0.025742546
372382,-0.027026188
372383,-0.11295177
372384,-0.31440803
372385,-0.035914823
372386,0.045087032
372387,0.017235696
372388,0.059499253
372389,0.017235696
372390,0.18786381
372391,0.1892511
372392,0.23806046
372393,0.017235696
372394,0.036079258
372395,-0.112339616
372396,0.36296412
372397,0.017235696
372398,-0.23043871
372399,-0.013213981
372400,0.34666592
372401,0.09540825
372402,-0.03635655
372403,-0.028202541
372404,0.017235696
372405,0.23520195
372406,-0.7555405
372407,0.017235696
372408,0.020369077
372409,-0.037712403
372410,-0.03023605
372411,0.23939258
372412,-0.5278091
372413,0.012840344
372414,0.07484983
372415,0.15835792
372416,-0.14958028
372417,0.017235696
372418,0.19415216
372419,-0.76674217
372420,0.017235696
372421,1.242384
372422,0.017235696
372423,-0.05066733
372424,0.07193898
372425,0.017235696
372426,0.05849331
